Date Time,Close,Open,High,Low,Change %,Volume
2017-08-02 00:00:00,110.73,110.36,111.0,110.28,0.34%,150
2017-08-01 00:00:00,110.36,110.25,110.59,109.92,0.10%,150
2017-07-31 00:00:00,110.25,110.64,110.78,110.19,-0.38%,150
2017-07-28 00:00:00,110.67,111.28,111.34,110.55,-0.52%,150
2017-07-27 00:00:00,111.25,111.18,111.73,110.78,0.07%,150
2017-07-26 00:00:00,111.17,111.89,112.2,111.06,-0.64%,150
2017-07-25 00:00:00,111.89,111.08,111.96,110.81,0.70%,150
2017-07-24 00:00:00,111.11,111.06,111.31,110.61,-0.01%,150
2017-07-21 00:00:00,111.12,111.92,112.09,111.0,-0.71%,150
2017-07-20 00:00:00,111.91,111.98,112.43,111.48,-0.05%,150
2017-07-19 00:00:00,111.97,112.08,112.25,111.56,-0.10%,150
2017-07-18 00:00:00,112.08,112.62,112.72,111.67,-0.50%,150
2017-07-17 00:00:00,112.64,112.5,112.88,112.31,0.10%,150
2017-07-14 00:00:00,112.53,113.29,113.6,112.27,-0.66%,150
2017-07-13 00:00:00,113.28,113.16,113.53,112.86,0.11%,150
2017-07-12 00:00:00,113.16,113.94,113.98,112.92,-0.68%,150
2017-07-11 00:00:00,113.94,114.05,114.51,113.72,-0.09%,150
2017-07-10 00:00:00,114.04,113.97,114.3,113.85,0.13%,150
2017-07-07 00:00:00,113.89,113.19,114.19,113.08,0.59%,150
2017-07-06 00:00:00,113.22,113.27,113.48,112.89,-0.04%,150
2017-07-05 00:00:00,113.27,113.28,113.69,112.81,-0.01%,150
2017-07-04 00:00:00,113.28,113.38,113.48,112.73,-0.10%,150
2017-07-03 00:00:00,113.39,112.14,113.48,111.94,0.90%,150
2017-06-30 00:00:00,112.38,112.19,112.62,111.74,0.18%,150
2017-06-29 00:00:00,112.18,112.31,112.94,111.81,-0.11%,150
2017-06-28 00:00:00,112.3,112.36,112.43,111.83,-0.05%,150
2017-06-27 00:00:00,112.36,111.88,112.47,111.45,0.46%,150
2017-06-26 00:00:00,111.84,111.11,111.94,111.11,0.49%,150
2017-06-23 00:00:00,111.29,111.35,111.45,111.16,-0.04%,150
2017-06-22 00:00:00,111.33,111.35,111.45,110.93,-0.04%,150
2017-06-21 00:00:00,111.38,111.45,111.73,111.05,-0.05%,150
2017-06-20 00:00:00,111.44,111.53,111.81,111.31,-0.08%,150
2017-06-19 00:00:00,111.53,110.83,111.61,110.75,0.60%,150
2017-06-16 00:00:00,110.86,110.92,111.44,110.64,-0.07%,150
2017-06-15 00:00:00,110.94,109.56,111.0,109.28,1.24%,150
2017-06-14 00:00:00,109.58,110.06,110.36,108.83,-0.45%,150
2017-06-13 00:00:00,110.07,109.95,110.28,109.82,0.12%,150
2017-06-12 00:00:00,109.94,110.36,110.44,109.61,-0.36%,150
2017-06-09 00:00:00,110.34,110.0,110.81,109.75,0.31%,150
2017-06-08 00:00:00,110.0,109.83,110.42,109.39,0.17%,150
2017-06-07 00:00:00,109.81,109.44,109.91,109.11,0.37%,150
2017-06-06 00:00:00,109.41,110.44,110.52,109.2,-0.96%,150
2017-06-05 00:00:00,110.47,110.36,110.73,110.25,0.05%,150
2017-06-02 00:00:00,110.42,111.34,111.72,110.31,-0.84%,150
2017-06-01 00:00:00,111.36,110.77,111.48,110.67,0.52%,150
2017-05-31 00:00:00,110.78,110.86,111.25,110.47,-0.06%,150
2017-05-30 00:00:00,110.85,111.27,111.35,110.67,-0.37%,150
2017-05-29 00:00:00,111.26,111.32,111.48,111.16,-0.07%,150
2017-05-26 00:00:00,111.34,111.86,111.89,110.89,-0.44%,150
2017-05-25 00:00:00,111.83,111.48,111.95,111.47,0.30%,150
2017-05-24 00:00:00,111.5,111.76,112.12,111.46,-0.25%,150
2017-05-23 00:00:00,111.78,111.31,111.86,110.86,0.43%,150
2017-05-22 00:00:00,111.3,111.33,111.62,110.89,0.02%,150
2017-05-19 00:00:00,111.28,111.48,111.7,111.03,-0.20%,150
2017-05-18 00:00:00,111.5,110.83,111.73,110.23,0.61%,150
2017-05-17 00:00:00,110.82,113.13,113.14,110.78,-2.03%,150
2017-05-16 00:00:00,113.12,113.78,113.8,112.91,-0.58%,150
2017-05-15 00:00:00,113.78,113.19,113.86,113.11,0.39%,150
2017-05-12 00:00:00,113.34,113.86,113.97,113.19,-0.46%,150
2017-05-11 00:00:00,113.86,114.31,114.39,113.47,-0.37%,150
2017-05-10 00:00:00,114.28,113.98,114.36,113.62,0.26%,150
2017-05-09 00:00:00,113.98,113.25,114.33,113.11,0.64%,150
2017-05-08 00:00:00,113.25,112.98,113.31,112.38,0.47%,150
2017-05-05 00:00:00,112.72,112.45,112.83,112.08,0.23%,150
2017-05-04 00:00:00,112.46,112.74,113.05,112.3,-0.26%,150
2017-05-03 00:00:00,112.75,112.0,112.8,111.95,0.69%,150
2017-05-02 00:00:00,111.98,111.86,112.33,111.78,0.13%,150
2017-05-01 00:00:00,111.84,111.3,111.93,111.19,0.26%,150
2017-04-28 00:00:00,111.55,111.25,111.72,111.06,0.25%,150
2017-04-27 00:00:00,111.27,111.06,111.61,111.0,0.19%,150
2017-04-26 00:00:00,111.06,111.11,111.8,110.88,-0.03%,150
2017-04-25 00:00:00,111.09,109.77,111.19,109.58,1.20%,150
2017-04-24 00:00:00,109.77,110.25,110.64,109.64,0.63%,150
2017-04-21 00:00:00,109.08,109.33,109.44,108.86,-0.22%,150
2017-04-20 00:00:00,109.32,108.85,109.49,108.7,0.42%,150
